id	codigo	descricao	data_publicacao_fake	data_publicacao
	2801900	Cumbe	1012009	01-01-2009
	2802007	Divina Pastora	1012009	01-01-2009
	2802106	Estância	1012009	01-01-2009
	2802205	Feira Nova	1012009	01-01-2009
	2802304	Frei Paulo	1012009	01-01-2009
	2802403	Gararu	1012009	01-01-2009
	2802502	General Maynard	1012009	01-01-2009
	2802601	Gracho Cardoso	1012009	01-01-2009
	2802700	Ilha das Flores	1012009	01-01-2009
	2802809	Indiaroba	1012009	01-01-2009
	2802908	Itabaiana	1012009	01-01-2009
	2803005	Itabaianinha	1012009	01-01-2009
	2803104	Itabi	1012009	01-01-2009
	2803203	Itaporanga d'Ajuda	1012009	01-01-2009
	2803302	Japaratuba	1012009	01-01-2009
	2803401	Japoatã	1012009	01-01-2009
	2803500	Lagarto	1012009	01-01-2009
	2803609	Laranjeiras	1012009	01-01-2009
	2803708	Macambira	1012009	01-01-2009
	2803807	Malhada dos Bois	1012009	01-01-2009
	2803906	Malhador	1012009	01-01-2009
	2804003	Maruim	1012009	01-01-2009
	2804102	Moita Bonita	1012009	01-01-2009
	2804201	Monte Alegre de Sergipe	1012009	01-01-2009
	2804300	Muribeca	1012009	01-01-2009
	2804409	Neópolis	1012009	01-01-2009
	2804458	Nossa Senhora Aparecida	1012009	01-01-2009
	2804508	Nossa Senhora da Glória	1012009	01-01-2009
	2804607	Nossa Senhora das Dores	1012009	01-01-2009
	2804706	Nossa Senhora de Lourdes	1012009	01-01-2009
	2804805	Nossa Senhora do Socorro	1012009	01-01-2009
	2804904	Pacatuba	1012009	01-01-2009
	2805000	Pedra Mole	1012009	01-01-2009
	2805109	Pedrinhas	1012009	01-01-2009
	2805208	Pinhão	1012009	01-01-2009
	2805307	Pirambu	1012009	01-01-2009
	2805406	Poço Redondo	1012009	01-01-2009
	2805505	Poço Verde	1012009	01-01-2009
	2805604	Porto da Folha	1012009	01-01-2009
	2805703	Propriá	1012009	01-01-2009
	2805802	Riachão do Dantas	1012009	01-01-2009
	2805901	Riachuelo	1012009	01-01-2009
	2806008	Ribeirópolis	1012009	01-01-2009
	2806107	Rosário do Catete	1012009	01-01-2009
	2806206	Salgado	1012009	01-01-2009
	2806305	Santa Luzia do Itanhy	1012009	01-01-2009
	2806503	Santa Rosa de Lima	1012009	01-01-2009
	2806404	Santana do São Francisco	1012009	01-01-2009
	2806602	Santo Amaro das Brotas	1012009	01-01-2009
	2806701	São Cristóvão	1012009	01-01-2009
	2806800	São Domingos	1012009	01-01-2009
	2806909	São Francisco	1012009	01-01-2009
	2807006	São Miguel do Aleixo	1012009	01-01-2009
	2807105	Simão Dias	1012009	01-01-2009
	2807204	Siriri	1012009	01-01-2009
	2807303	Telha	1012009	01-01-2009
	2807402	Tobias Barreto	1012009	01-01-2009
	2807501	Tomar do Geru	1012009	01-01-2009
	2807600	Umbaúba	1012009	01-01-2009
	3200102	Afonso Cláudio	1012009	01-01-2009
	3200169	Água Doce do Norte	1012009	01-01-2009
	3200136	Águia Branca	1012009	01-01-2009
	3200201	Alegre	1012009	01-01-2009
	3200300	Alfredo Chaves	1012009	01-01-2009
	3200359	Alto Rio Novo	1012009	01-01-2009
	3200409	Anchieta	1012009	01-01-2009
	3200508	Apiacá	1012009	01-01-2009
	3200607	Aracruz	1012009	01-01-2009
	3200706	Atilio Vivacqua	1012009	01-01-2009
	3200805	Baixo Guandu	1012009	01-01-2009
	3200904	Barra de São Francisco	1012009	01-01-2009
	3201001	Boa Esperança	1012009	01-01-2009
	3201100	Bom Jesus do Norte	1012009	01-01-2009
	3201159	Brejetuba	1012009	01-01-2009
	3201209	Cachoeiro de Itapemirim	1012009	01-01-2009
	3201308	Cariacica	1012009	01-01-2009
	3201407	Castelo	1012009	01-01-2009
	3201506	Colatina	1012009	01-01-2009
	3201605	Conceição da Barra	1012009	01-01-2009
	3201704	Conceição do Castelo	1012009	01-01-2009
	3201803	Divino de São Lourenço	1012009	01-01-2009
	3201902	Domingos Martins	1012009	01-01-2009
	3202009	Dores do Rio Preto	1012009	01-01-2009
	3202108	Ecoporanga	1012009	01-01-2009
	3202207	Fundão	1012009	01-01-2009
	3202256	Governador Lindenberg	1012009	01-01-2009
	3202306	Guaçuí	1012009	01-01-2009
	3202405	Guarapari	1012009	01-01-2009
	3202454	Ibatiba	1012009	01-01-2009
	3202504	Ibiraçu	1012009	01-01-2009
	3202553	Ibitirama	1012009	01-01-2009
	3202603	Iconha	1012009	01-01-2009
	3202652	Irupi	1012009	01-01-2009
	3202702	Itaguaçu	1012009	01-01-2009
	3202801	Itapemirim	1012009	01-01-2009
	3202900	Itarana	1012009	01-01-2009
	3203007	Iúna	1012009	01-01-2009
	3203056	Jaguaré	1012009	01-01-2009
	3203106	Jerônimo Monteiro	1012009	01-01-2009
	3203130	João Neiva	1012009	01-01-2009
	3203163	Laranja da Terra	1012009	01-01-2009
	3203205	Linhares	1012009	01-01-2009
	3203304	Mantenópolis	1012009	01-01-2009
	3203320	Marataízes	1012009	01-01-2009
	3203346	Marechal Floriano	1012009	01-01-2009
	3203353	Marilândia	1012009	01-01-2009
	3203403	Mimoso do Sul	1012009	01-01-2009
	3203502	Montanha	1012009	01-01-2009
	3203601	Mucurici	1012009	01-01-2009
	3203700	Muniz Freire	1012009	01-01-2009
	3203809	Muqui	1012009	01-01-2009
	3203908	Nova Venécia	1012009	01-01-2009
	3204005	Pancas	1012009	01-01-2009
	3204054	Pedro Canário	1012009	01-01-2009
	3204104	Pinheiros	1012009	01-01-2009
	3204203	Piúma	1012009	01-01-2009
	3204252	Ponto Belo	1012009	01-01-2009
	3204302	Presidente Kennedy	1012009	01-01-2009
	3204351	Rio Bananal	1012009	01-01-2009
	3204401	Rio Novo do Sul	1012009	01-01-2009
	3204500	Santa Leopoldina	1012009	01-01-2009
	3204559	Santa Maria de Jetibá	1012009	01-01-2009
	3204609	Santa Teresa	1012009	01-01-2009
	3204658	São Domingos do Norte	1012009	01-01-2009
	3204708	São Gabriel da Palha	1012009	01-01-2009
	3204807	São José do Calçado	1012009	01-01-2009
	3204906	São Mateus	1012009	01-01-2009
	3204955	São Roque do Canaã	1012009	01-01-2009
	3205002	Serra	1012009	01-01-2009
	3205010	Sooretama	1012009	01-01-2009
	3205036	Vargem Alta	1012009	01-01-2009
	3205069	Venda Nova do Imigrante	1012009	01-01-2009
	3205101	Viana	1012009	01-01-2009
	3205150	Vila Pavão	1012009	01-01-2009
	3205176	Vila Valério	1012009	01-01-2009
	3205200	Vila Velha	1012009	01-01-2009
	3205309	Vitória	1012009	01-01-2009
	5000203	Água Clara	1012009	01-01-2009
	5000252	Alcinópolis	1012009	01-01-2009
	5000609	Amambaí	1012009	01-01-2009
	5000708	Anastácio	1012009	01-01-2009
	5000807	Anaurilândia	1012009	01-01-2009
	5000856	Angélica	1012009	01-01-2009
	5000906	Antônio João	1012009	01-01-2009
	5001003	Aparecida do Taboado	1012009	01-01-2009
	5001102	Aquidauana	1012009	01-01-2009
	5001243	Aral Moreira	1012009	01-01-2009
	5001508	Bandeirantes	1012009	01-01-2009
	5001904	Bataguassu	1012009	01-01-2009
	5002001	Batayporã	1012009	01-01-2009
	5002100	Bela Vista	1012009	01-01-2009
	5002159	Bodoquena	1012009	01-01-2009
	5002209	Bonito	1012009	01-01-2009
	5002308	Brasilândia	1012009	01-01-2009
	5002407	Caarapó	1012009	01-01-2009
	5002605	Camapuã	1012009	01-01-2009
	5002704	Campo Grande	1012009	01-01-2009
	5002803	Caracol	1012009	01-01-2009
	5002902	Cassilândia	1012009	01-01-2009
	5002951	Chapadão do Sul	1012009	01-01-2009
	5003108	Corguinho	1012009	01-01-2009
	5003157	Coronel Sapucaia	1012009	01-01-2009
	5003207	Corumbá	1012009	01-01-2009
	5003256	Costa Rica	1012009	01-01-2009
	5003306	Coxim	1012009	01-01-2009
	5003454	Deodápolis	1012009	01-01-2009
	5003488	Dois Irmãos do Buriti	1012009	01-01-2009
	5003504	Douradina	1012009	01-01-2009
	5003702	Dourados	1012009	01-01-2009
	5003751	Eldorado	1012009	01-01-2009
	5003801	Fátima do Sul	1012009	01-01-2009
	5003900	Figueirão	1012009	01-01-2009
	5004007	Glória de Dourados	1012009	01-01-2009
	5004106	Guia Lopes da Laguna	1012009	01-01-2009
	5004304	Iguatemi	1012009	01-01-2009
	5004403	Inocência	1012009	01-01-2009
	5004502	Itaporã	1012009	01-01-2009
	5004601	Itaquiraí	1012009	01-01-2009
	5004700	Ivinhema	1012009	01-01-2009
	5004809	Japorã	1012009	01-01-2009
	5004908	Jaraguari	1012009	01-01-2009
	5005004	Jardim	1012009	01-01-2009
	5005103	Jateí	1012009	01-01-2009
	5005152	Juti	1012009	01-01-2009
	5005202	Ladário	1012009	01-01-2009
	5005251	Laguna Carapã	1012009	01-01-2009
	5005400	Maracaju	1012009	01-01-2009
	5005608	Miranda	1012009	01-01-2009
	5005681	Mundo Novo	1012009	01-01-2009
	5005707	Naviraí	1012009	01-01-2009
	5005806	Nioaque	1012009	01-01-2009
