codigo,unidade,data_publicacao,descricao_unidade,id
90283039,UN,2016-01-01,Unidade,
90283090,UN,2016-01-01,Unidade,
90289010,KG,2016-01-01,Quilograma,
90289090,KG,2016-01-01,Quilograma,
90291010,UN,2016-01-01,Unidade,
90291090,UN,2016-01-01,Unidade,
90292010,UN,2016-01-01,Unidade,
90292020,UN,2016-01-01,Unidade,
90299010,KG,2016-01-01,Quilograma,
90299090,KG,2016-01-01,Quilograma,
90301010,UN,2016-01-01,Unidade,
90301090,UN,2016-01-01,Unidade,
90302010,UN,2016-01-01,Unidade,
90302021,UN,2016-01-01,Unidade,
90302022,UN,2016-01-01,Unidade,
90302029,UN,2016-01-01,Unidade,
90302030,UN,2016-01-01,Unidade,
90303100,UN,2016-01-01,Unidade,
90303200,UN,2016-01-01,Unidade,
90303311,UN,2016-01-01,Unidade,
90303319,UN,2016-01-01,Unidade,
90303321,UN,2016-01-01,Unidade,
90303329,UN,2016-01-01,Unidade,
90303390,UN,2016-01-01,Unidade,
90303910,UN,2016-01-01,Unidade,
90303990,UN,2016-01-01,Unidade,
90304010,UN,2016-01-01,Unidade,
90304020,UN,2016-01-01,Unidade,
90304030,UN,2016-01-01,Unidade,
90304090,UN,2016-01-01,Unidade,
90308210,UN,2016-01-01,Unidade,
90308290,UN,2016-01-01,Unidade,
90308410,UN,2016-01-01,Unidade,
90308420,UN,2016-01-01,Unidade,
90308490,UN,2016-01-01,Unidade,
90308910,UN,2016-01-01,Unidade,
90308920,UN,2016-01-01,Unidade,
90308930,UN,2016-01-01,Unidade,
90308940,UN,2016-01-01,Unidade,
90308990,UN,2016-01-01,Unidade,
90309010,KG,2016-01-01,Quilograma,
90309090,KG,2016-01-01,Quilograma,
90311000,UN,2016-01-01,Unidade,
90312010,UN,2016-01-01,Unidade,
90312090,UN,2016-01-01,Unidade,
90314100,UN,2016-01-01,Unidade,
90314910,UN,2016-01-01,Unidade,
90314920,UN,2016-01-01,Unidade,
90314990,UN,2016-01-01,Unidade,
90318011,UN,2016-01-01,Unidade,
90318012,UN,2016-01-01,Unidade,
90318020,UN,2016-01-01,Unidade,
90318030,UN,2016-01-01,Unidade,
90318040,UN,2016-01-01,Unidade,
90318050,UN,2016-01-01,Unidade,
90318060,UN,2016-01-01,Unidade,
90318091,UN,2016-01-01,Unidade,
90318099,UN,2016-01-01,Unidade,
90319010,KG,2016-01-01,Quilograma,
90319090,KG,2016-01-01,Quilograma,
90321010,UN,2016-01-01,Unidade,
90321090,UN,2016-01-01,Unidade,
90322000,UN,2016-01-01,Unidade,
90328100,UN,2016-01-01,Unidade,
90328911,UN,2016-01-01,Unidade,
90328919,UN,2016-01-01,Unidade,
90328921,UN,2016-01-01,Unidade,
90328922,UN,2016-01-01,Unidade,
90328923,UN,2016-01-01,Unidade,
90328924,UN,2016-01-01,Unidade,
90328925,UN,2016-01-01,Unidade,
90328929,UN,2016-01-01,Unidade,
90328930,UN,2016-01-01,Unidade,
90328981,UN,2016-01-01,Unidade,
90328982,UN,2016-01-01,Unidade,
90328983,UN,2016-01-01,Unidade,
90328984,UN,2016-01-01,Unidade,
90328989,UN,2016-01-01,Unidade,
90328990,UN,2016-01-01,Unidade,
90329010,KG,2016-01-01,Quilograma,
90329091,KG,2016-01-01,Quilograma,
90329099,KG,2016-01-01,Quilograma,
90330000,KG,2016-01-01,Quilograma,
91011100,UN,2016-01-01,Unidade,
91011900,UN,2016-01-01,Unidade,
91012100,UN,2016-01-01,Unidade,
91012900,UN,2016-01-01,Unidade,
91019100,UN,2016-01-01,Unidade,
91019900,UN,2016-01-01,Unidade,
91021110,UN,2016-01-01,Unidade,
91021190,UN,2016-01-01,Unidade,
91021210,UN,2016-01-01,Unidade,
91021220,UN,2016-01-01,Unidade,
91021290,UN,2016-01-01,Unidade,
91021900,UN,2016-01-01,Unidade,
91022100,UN,2016-01-01,Unidade,
91022900,UN,2016-01-01,Unidade,
91029100,UN,2016-01-01,Unidade,
91029900,UN,2016-01-01,Unidade,
91031000,UN,2016-01-01,Unidade,
91039000,UN,2016-01-01,Unidade,
91040000,UN,2016-01-01,Unidade,
91051100,UN,2016-01-01,Unidade,
91051900,UN,2016-01-01,Unidade,
91052100,UN,2016-01-01,Unidade,
91052900,UN,2016-01-01,Unidade,
91059100,UN,2016-01-01,Unidade,
91059900,UN,2016-01-01,Unidade,
91061000,UN,2016-01-01,Unidade,
91069000,UN,2016-01-01,Unidade,
91070010,UN,2016-01-01,Unidade,
