codigo,unidade,data_publicacao,descricao_unidade,id
54081000,KG,2016-01-01,Quilograma,
54082100,KG,2016-01-01,Quilograma,
54082200,KG,2016-01-01,Quilograma,
54082300,KG,2016-01-01,Quilograma,
54082400,KG,2016-01-01,Quilograma,
54083100,KG,2016-01-01,Quilograma,
54083200,KG,2016-01-01,Quilograma,
54083300,KG,2016-01-01,Quilograma,
54083400,KG,2016-01-01,Quilograma,
55011000,KG,2016-01-01,Quilograma,
55012000,KG,2016-01-01,Quilograma,
55013000,KG,2016-01-01,Quilograma,
55014000,KG,2016-01-01,Quilograma,
55019000,KG,2016-01-01,Quilograma,
55021000,KG,01-01-2017,Quilograma,
55029010,KG,01-01-2017,Quilograma,
55029090,KG,01-01-2017,Quilograma,
55031100,KG,2016-01-01,Quilograma,
55031910,KG,2016-01-01,Quilograma,
55031990,KG,2016-01-01,Quilograma,
55032010,KG,2016-01-01,Quilograma,
55032090,KG,2016-01-01,Quilograma,
55033000,KG,2016-01-01,Quilograma,
55034000,KG,2016-01-01,Quilograma,
55039010,KG,2016-01-01,Quilograma,
55039020,KG,2016-01-01,Quilograma,
55039090,KG,2016-01-01,Quilograma,
55041000,KG,2016-01-01,Quilograma,
55049010,KG,2016-01-01,Quilograma,
55049090,KG,2016-01-01,Quilograma,
55051000,KG,2016-01-01,Quilograma,
55052000,KG,2016-01-01,Quilograma,
55061000,KG,2016-01-01,Quilograma,
55062000,KG,2016-01-01,Quilograma,
55063000,KG,2016-01-01,Quilograma,
55064000,KG,01-01-2017,Quilograma,
55069000,KG,2016-01-01,Quilograma,
55070000,KG,2016-01-01,Quilograma,
55081000,KG,2016-01-01,Quilograma,
55082000,KG,2016-01-01,Quilograma,
55091100,KG,2016-01-01,Quilograma,
55091210,KG,2016-01-01,Quilograma,
55091290,KG,2016-01-01,Quilograma,
55092100,KG,2016-01-01,Quilograma,
55092200,KG,2016-01-01,Quilograma,
55093100,KG,2016-01-01,Quilograma,
55093200,KG,2016-01-01,Quilograma,
55094100,KG,2016-01-01,Quilograma,
55094200,KG,2016-01-01,Quilograma,
55095100,KG,2016-01-01,Quilograma,
55095200,KG,2016-01-01,Quilograma,
