codigo	unidade	data_publicacao	data_validade	descricao_unidade	
3038965	KG	01/01/2016		Quilograma	
3038990	KG	01/01/2016		Quilograma	
3039100	KG	01/01/2017		Quilograma	
3039200	KG	01/01/2017		Quilograma	
3039910	KG	01/01/2017		Quilograma	
3039920	KG	01/01/2017		Quilograma	
3039990	KG	01/01/2017		Quilograma	
3043100	KG	01/01/2016		Quilograma	
3043210	KG	01/01/2016		Quilograma	
3043290	KG	01/01/2016		Quilograma	
3043300	KG	01/01/2016		Quilograma	
3043900	KG	01/01/2016		Quilograma	
3044100	KG	01/01/2016		Quilograma	
3044200	KG	01/01/2016		Quilograma	
3044300	KG	01/01/2016		Quilograma	
3044400	KG	01/01/2016		Quilograma	
3044500	KG	01/01/2016		Quilograma	
3044600	KG	01/01/2016		Quilograma	
3044700	KG	01/01/2017		Quilograma	
3044800	KG	01/01/2017		Quilograma	
3044910	KG	01/01/2016		Quilograma	
3044920	KG	01/01/2016		Quilograma	
3044990	KG	01/01/2016		Quilograma	
3045100	KG	01/01/2016		Quilograma	
3045200	KG	01/01/2016		Quilograma	
3045300	KG	01/01/2016		Quilograma	
3045400	KG	01/01/2016		Quilograma	
3045500	KG	01/01/2016		Quilograma	
3045600	KG	01/01/2017		Quilograma	
3045700	KG	01/01/2017		Quilograma	
3045900	KG	01/01/2016		Quilograma	
3046100	KG	01/01/2016		Quilograma	
3046210	KG	01/01/2016		Quilograma	
3046290	KG	01/01/2016		Quilograma	
3046300	KG	01/01/2016		Quilograma	
3046900	KG	01/01/2016		Quilograma	
3047100	KG	01/01/2016		Quilograma	
3047200	KG	01/01/2016		Quilograma	
3047300	KG	01/01/2016		Quilograma	
3047400	KG	01/01/2016		Quilograma	
3047500	KG	01/01/2016		Quilograma	
3047900	KG	01/01/2016		Quilograma	
3048100	KG	01/01/2016		Quilograma	
3048200	KG	01/01/2016		Quilograma	
3048300	KG	01/01/2016		Quilograma	
3048400	KG	01/01/2016		Quilograma	
3048510	KG	01/01/2016		Quilograma	
3048520	KG	01/01/2016		Quilograma	
3048600	KG	01/01/2016		Quilograma	
3048700	KG	01/01/2016		Quilograma	
3048810	KG	01/01/2017		Quilograma	
3048890	KG	01/01/2017		Quilograma	
3048910	KG	01/01/2016		Quilograma	
3048920	KG	01/01/2016		Quilograma	
3048930	KG	01/01/2016		Quilograma	
3048990	KG	01/01/2016		Quilograma	
3049100	KG	01/01/2016		Quilograma	
3049211	KG	01/01/2016		Quilograma	
3049212	KG	01/01/2016		Quilograma	
3049219	KG	01/01/2016		Quilograma	
3049221	KG	01/01/2016		Quilograma	
3049222	KG	01/01/2016		Quilograma	
3049229	KG	01/01/2016		Quilograma	
3049300	KG	01/01/2016		Quilograma	
3049400	KG	01/01/2016		Quilograma	
3049500	KG	01/01/2016		Quilograma	
3049600	KG	01/01/2017		Quilograma	
3049700	KG	01/01/2017		Quilograma	
3049900	KG	01/01/2016		Quilograma	
3051000	KG	01/01/2016		Quilograma	
3052000	KG	01/01/2016		Quilograma	
3053100	KG	01/01/2016		Quilograma	
3053210	KG	01/01/2016		Quilograma	
3053220	KG	01/01/2016		Quilograma	
3053230	KG	01/01/2017		Quilograma	
3053290	KG	01/01/2016		Quilograma	
3053900	KG	01/01/2017		Quilograma	
3054100	KG	01/01/2016		Quilograma	
3054200	KG	01/01/2016		Quilograma	
3054300	KG	01/01/2016		Quilograma	
3054400	KG	01/01/2016		Quilograma	
3054910	KG	01/01/2016		Quilograma	
3054920	KG	01/01/2016		Quilograma	
3054990	KG	01/01/2016		Quilograma	
3055100	KG	01/01/2016		Quilograma	
3055200	KG	01/01/2017		Quilograma	
3055310	KG	01/01/2017		Quilograma	
3055390	KG	01/01/2017		Quilograma	
